분류,세부,태그,설명,비고
Medium (매체),,traditional media,"연필, 물감 등 전통적인 미술 도구로 그린 듯한 느낌을 줍니다.",
Medium (매체),,faux traditional media,디지털로 작업했지만 전통적인 미술 도구 느낌을 흉내 낸 스타일입니다.,
Medium (매체),,mixed media,전통적인 도구와 디지털 작업이 혼합된 느낌을 줍니다.,
Medium (매체),,unconventional media,일반적이지 않은 독특한 재료로 만든 듯한 느낌을 냅니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),acrylic paint (medium),아크릴 물감으로 그린 질감을 표현합니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),ballpoint pen (medium),볼펜으로 그린 듯한 선과 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),calligraphy brush (medium),캘리그라피 붓으로 그린 듯한 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),colored pencil (medium),색연필로 채색한 것 같은 질감을 표현합니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),graphite (medium),흑연(연필)으로 그린 스케치 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),ink (medium),"잉크를 사용하여 그린 느낌, 펜화나 동양화의 먹 느낌을 표현합니다.",
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),marker (medium),마커펜으로 칠한 듯한 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),millipen (medium),밀리펜(얇은 펜)으로 그린 듯한 세밀한 선을 표현합니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),nib pen (medium),닙 펜(펜촉을 찍어 쓰는 펜)으로 그린 듯한 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),oil painting (medium),유화로 그린 듯한 꾸덕하고 깊은 질감을 표현합니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),painting (medium),일반적인 회화(그림) 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),pastel (medium),파스텔로 그린 부드럽고 가루가 날리는 듯한 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),pen (medium),펜으로 그린 일반적인 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),watercolor (medium),수채화 물감으로 그린 맑고 투명한 느낌을 줍니다.,
Medium (매체),세부 매체 태그 (위 태그와 조합하여 사용),watercolor pencil (medium),수채 색연필로 그린 느낌을 줍니다.,
Medium (매체),디지털 매체 태그,3d,3D 모델링 프로그램으로 만든 것 같은 입체적인 느낌을 줍니다.,
Medium (매체),디지털 매체 태그,blender (medium),3D 모델링 프로그램으로 만든 것 같은 입체적인 느낌을 줍니다.,
Medium (매체),디지털 매체 태그,ai-generated and ai-assisted,AI가 생성했거나 도움을 받은 듯한 독특한 느낌을 줍니다.,
Medium (매체),디지털 매체 태그,anime screencap,애니메이션의 한 장면을 캡처한 듯한 스타일을 만듭니다.,
Medium (매체),디지털 매체 태그,pixel art,이미지를 작은 정사각형 점(픽셀)으로 표현하는 레트로 게임 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,abstract,대상을 사실적으로 묘사하지 않는 추상적인 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,art nouveau,덩굴 식물 같은 유기적이고 유려한 곡선을 특징으로 하는 장식적인 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,impressionism,빛과 색의 순간적인 인상을 표현하는 인상주의 화풍입니다.,
Art style (아트 스타일),미술 사조 태그,ligne claire,"'맑은 선'이라는 뜻으로, 깨끗하고 명확한 선으로 대상을 표현하는 스타일입니다.",
Art style (아트 스타일),미술 사조 태그,nihonga,전통적인 일본화 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,ukiyo-e,목판화로 제작된 일본의 전통적인 풍속화 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,realistic,사진처럼 사실적인 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,photorealistic,사진처럼 사실적인 스타일입니다.,
Art style (아트 스타일),미술 사조 태그,retro artstyle,과거의 특정 시대(예: 1980년대)를 떠올리게 하는 복고풍 스타일입니다.,
Art style (아트 스타일),기법 및 형식 태그,painterly,붓 터치가 살아있는 회화적인 느낌을 강조합니다.,
Art style (아트 스타일),기법 및 형식 태그,sketch,연필이나 펜으로 가볍게 그린 스케치 느낌을 줍니다.,
Art style (아트 스타일),기법 및 형식 태그,lineart,색상 없이 선으로만 이루어진 그림입니다.,
Art style (아트 스타일),기법 및 형식 태그,no lineart,외곽선 없이 색상 덩어리로만 형태를 표현하는 스타일입니다.,
Art style (아트 스타일),기법 및 형식 태그,jaggy lines,거칠고 들쭉날쭉한 선을 사용합니다.,
Art style (아트 스타일),기법 및 형식 태그,outline,대상의 외곽선을 강조합니다.,
Art style (아트 스타일),기법 및 형식 태그,vector trace,일러스트레이터 같은 벡터 프로그램으로 그린 듯한 깔끔한 느낌을 줍니다.,
Art style (아트 스타일),기법 및 형식 태그,color trace,"`production art` (제작 자료), `animation paper` (애니메이션 종이) 태그와 함께 쓰면 제작 과정의 그림 같은 느낌을 줍니다.",
Art style (아트 스타일),기법 및 형식 태그,game cg,게임의 한 장면이나 일러스트 같은 스타일입니다.,
Art style (아트 스타일),기법 및 형식 태그,official art,공식적으로 발표된 듯한 고품질의 완성도 있는 아트 스타일입니다.,
Art style (아트 스타일),기법 및 형식 태그,shikishi,일본의 사인이나 그림에 쓰이는 사각형 종이(색지)에 그린 것처럼 이미지 주위에 테두리가 생깁니다.,
Art style (아트 스타일),기법 및 형식 태그,oekaki,"간단한 그림판 툴로 그린 듯한, 날카롭고 얇은 선이 특징인 스타일입니다.",
Art style (아트 스타일),기법 및 형식 태그,tegaki,마우스나 태블릿으로 직접 손으로 쓴 듯한 느낌을 줍니다.,
Coloring (색상),색상 스타일 태그,anime coloring,그림자와 하이라이트가 단순하고 명확하게 구분되는 셀 채색 스타일입니다.,
Coloring (색상),색상 스타일 태그,colorful,다채롭고 화려한 색상을 사용합니다.,
Coloring (색상),색상 스타일 태그,dark,전체적으로 어두운 톤의 색감을 사용합니다.,
Coloring (색상),색상 스타일 태그,limited palette,제한된 수의 색상만을 사용하여 그림을 그립니다.,
